Lew Fields
Inna Churikova
Svetlana Ryabova
Maria Golubkina
Elena Bogdanova
s a
Rod Laurem
T.J. Kuhn
John Goodman
William Forsythe
Randall (Tex) Cobb
Frances McDormand
Sam McMurray
Evans Evans
Tom Gilleran
Raphael Campos
Alec Guiness
George Benson
Alexandre Lazarev
s a
s a
Susan Harrison
Alec Guiness
FRankie Howerd
Gail Strickland
Paul Dahlke
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
Arleen Wheelan
Ally Sheedy
Katie Roiphe
Camille Paglia
Elizabeth Marshall Thomas
Lancd Henriksen
Max Laurens
Harry Liedtke
Richard Libertini
Penny Peyser
Nancy Dussault
Bob
Ray
John Bubbles
The Nicholas Brothers
Chuck Green
Honi Coles
Cort Hubbert
Lanny Flaherty
Earl Hindman
Madelaine Sherwood
Robert Wuhl
Jace Alexander
s a
Sheryl Lee Ralph
Jean Smart
Danny Aiello
Tuesday Knight
s a
s a
s a
s a
s a
Hermann Thimig
Alfred Abel
Hilde W\"orner
s a
Philip Ober
Rod LaRoque
Fred Malatesta
Ronald Coleman
Irene Purcell
Gustav vonSeyfferlitz
Phillippe deLacy
Wilhelmena Wiggins Fernandez
Jacques Fabri
Roland Bertin
Gerard Darmon
Chantal Dernaz
Patrick Floersheim
JeanJaques Moreau
Anny Romand
Stephen Stucker
s a
Kerlly LeBrock
s a
Philip Michael Thomas
s a
s a
Vanessa Wiliams
Evan Rachel
Meredith Baxter
Carrie Hamilton
Harry Liedtke
Hermann Thimig
Victor Jansen
Lotte Neumann
Jacob Tiedtke
Ernst R\"uckert
Henny Porten
Henny Porten
Jacob Tiedtke
Jenny Hasselqvist
Harry Liedtke
Ernst Lubitsch
Henny Porten
Hedwig Pauly
Aud Egede Nissen
Ludwig Hartau
Paul Heideman
Victor Jansen
Hermann Thimig
Rod LaRoque
Harry Liedtke
Dagny Servaes
Lyda Salmanova
James Gardner
s a
Pat Morita
Dona Spei
Carolyn Lin
Roberta Vasquez
Cynthia Brimhall
Erik Estrada
Stephanie Schick
Kirsten Wilson
RavenSymone
Daisy Belmore
Nora Cecil
Tempe piggott
Venue deMars
Nita Talbot
Ed Hashim
Jacques Spieser
Nameer ElKadi
Emmett King
Berkley Harris
Lola Allbright
Gail Kobe
Lee Phillips
s a
Vahina Giocante
Frederic Malgras
Catherine Oxenburg
Gong Li
Ge You
N. Ben
Guo Tao
J. Wu
Gong Li
s a
s a
Sacha Guitry
Sig Rumann
Inez Courtney
David Lochery
Mink Stole
William Saddler
John Amar
Michael Francis Clarke
Art Evans
Tom Bowie
Sig Rumann
s a
Gong Li
He Cafei
Cao Cuifen
Jin Shuyuan
Ma Jingwu
Kong Lin
Ding Weimin
Cui Zhihgang
Gong Li
Li BaoTian
Li Wei
Kevin Spacey
Penelope Allen
Kevin Conway
William powell
Lisbeth Movin
Thorkild Roose
Anna Svierkier
Preben Lerdoff Rye
Sigrid Neiiendam
Pat Hitchcock
Sam Neil
Wendy Crewson
Angela Landis
Hallie Kete Eisenberg
Embeth Davidtz
Oliver Platt
Embeth Daviftz
Steven Hill
Karin Booth
Jenifer Lea
Milo Ross
Fred Kruger
Robert Carson
Robin Morse
Daniel Radcliffe
Emma Watson
Rupert Grint
Fiona Shaw
Richard Griffiths
Alan Rickman
Ian Hart
Tom Felton
Robbie Coltrane
sa
sa
Albert Roccardi
Carleton Stockdale
Yola dAvril
Andre Sheron
Russell Powell
Winter Hall
Margaret Fealy
Isobel Epsom
John Verros
Charles Bateman
Anna Capri
Charles Robinson
Alvy moore
Geri Reischl
Paul Reubens
Jan Hooks
Mark Holson
Judd Omen
Tony Bell
Alice Nunn
Diane Salinger
Skeets Galagher
Lillian Roth
Dennis King
Tyler Brooke
John Roche
Albert Conti
Helen Garden
Donald Novis
Erc Bye
David Percy
Billy Bevan
Sidney Bracey
Charlie Ruggles
George MacReady
Kathleen McGuire
George McReady
Tracy Morgan
Michael Kahn
Russell Johnson
George Breslin
Betty Woods
Roy Damour
Nancy Carrol
Tom Douglas
Louise Carter
Barbara Cook
s a
Richard Carle
Barbara Leonard
Josephine Dunn
Charles Judels
Donald Novis
Leonid Kinsky
Tyler Brooke
Romald Coleman
Blanke Yorks
Johnny Depp
Robert Wuhl
Billy Dee Williams
s a
Billy Dee Williams
Samuael L. Jackson
Jurnee Smollett
Vondie Curtis Hall
Branford Marsalis
Nicole Carson
Tony Cox
Patrice Martinez
Matt Clark
Bonnie Bartlett
Kanu Banerjee
Karuna Banerjee
Subir Banerjee
Uma Das Gupat
Tulsi Chakravarty
Chunibala Devi
s a
Don Galloway
Vernon Wells
Robert Picardo
Mink Stole
s a
Stefan Arngrim
s a
s a
s a
Alex Lynn
Richard Crema
s a
s a
Julian West
Henriette Gerard
Rena Mandel
Jan Hieronimko
Maurice Schutz
Sybille Schmitz
Albrecht Bras
Nina Babanini
s a
s a
Norma Eberhardt
Mara Corday
Lita Malin
Abby Dalton
Barbara Bostock
Jane Birkin
Joan Severance
Kevin Spacey
Louis Giambalvo
Kisten Childs
Alan North
Benny McInery
John Goodman
Trini Alvarado
Kelly McGinnis
s a
Emma Croft
Don Henderson
Miriam Margolyes
Andrew Tiernan
Billy Dee Williams
Bill Finley
Lisle Wilson
Mary Davenport
Roberts Blossom
Cary Guffey
Carl Gottlieb
Andy McDowell
Andy Garcia
Ronald Lacy
John RysDavis
Patti LuPone
Wendy Jo Sperber
Johnny Crawford
Pat Hogan
Bobby Crawford
George Lewis
Allan Garfield
Lara Parker
Ruth Alda
Julia Walters
Larry Lamb
Stephanie Lawrence
Ellen Beaven
Michael Atwill
Ralph Brown
Martin Jarvis
Jeremy Davies
Alberta Watson
Ryan ONeil
Whoopi oldberg
Larry King
Robert Shapiro
Joe Eszterhas
Angie Dickenson
s a
Dean Staunton
Lita Milan
Nester Paiva
James Congdon
Sergo Corrieri
David Patrick Kelly
Celia Weston
Patricia Arquette
Virginia Fields
Patrick Bedford
Sorrel Booke
Marlon Wayans
David Spade
Tamara Taylor
Jack Moss
John King
Virginia Fields
Hans Marr
Pauline Moore
June Gale
Douglas Dumbrille
Billie Seward
Donald mcBride
Trevor Bardette
Christina Ricci
Jimmy Workman
Judith Malina
Elizabeth Wien
Dan Hedaya
Dana Ivey
Christopher Hart
Laurie Wallis
Valerie Wallis
Cal Struyker
Michael . Fox
Anthony Higgins
Gabrielle Anwar
Isaac Mizrahi
Paul Abbott
Gabrielle Anwar
Anthony Higgins
s a
Christian Hanover
Dan Hedaya
s a
s a
s a
Joan Cusack
Christina Ricci
Jimmy Workman
Judith Malina
David Krumholtz
Christopher Hart
Kaitlyn Hooper
Kristin Hooper
Cal Struyker
Martin W.
Renee Russo
Morgan Freeman?
s a
s a
s a
Martin Ferraro
John Gries
Lars Hanson
Karin Molander
Tora Teje
Anders deWahl
Jacques Duby
Roland Lesaffre
s a
Frankfurter
Henry Conniff~jr.
s a
Jimmy Edwards
Marita Hunt
Jack Wayne
Jack Coleman
Kevin Colsonn
Christopher Dark
Chris Robinson
Pamela Anderson
Matt Frewer
Xander Berkeley
Rob Roy
Sinbad
Kim Greist
Rosamund Greenwood
Stanley baker
Pamela brown
Helen haye
Albert Lieu
Rene\'e Asherson
George Robey
Janet Burnett
Frederick Cooper
Jonathan Field
Russell Thorndike
Diane Ellis
Florence Carrez
Joe deSantis
Hershel Bernardi
Alec Guiness
Sarah Pickering
Amelda Brown
Roshan Seth
Pierre Lymarie
Pierre Etaix
Francois Leterier
Roland Monod
Charles LeClainche
Martin Lassale
Claude Laydu
Nicole Ladmiral
Jean Riviere
Armand Guibert
Paul Bernard
Elina Labourdette
Jean Marchat
Simone Cressier
s a
s a
Beby
Andre Servilanges
Dalio
Gilles Magaritis
Maria Falconetti
s a
Jeff Donell
William Wright
Gale Sondergard
Donald MacBride
Kenneth Moore
Nadine Nortier
JeanClaude Guilbert
Paul Hebert
Maria Cardinal
Anne Wiazemsky
Francois Lafargue
Pierre Klossowski
s a
Steve Harvey
D.L. Hughley
Cedric the Entertainer
Bernie Mac
sa
Andre Wilms
Matti Pellon\"a\"A
Kari V\"a\"ana\"anen
s a
Christine Murillo
Evelyne Didi
Laike
Woody Harrelson
Dylan McDermott
Ray Allen
Ruby Allen
Rosanne Dawson
Mille Jovovich
Hill Harper
Bole x
Bill Nunn
Zeloi Harris
s a
s a
Gary Sinise
Corin Nemec
Bill Fagerbakke
Adam Storke
Jamey Sheridan
Matt Frewer
Miguel Ferrer
Rick Ducommun
Gabrielle Anwar
Chris Mulkey
Tony Plana
Joseph Dain
Kevin Connolly
Joe Dain
Chris Taaffe
Paul Abbott
Doug McKeon
Michael Imperioli
Victor Colicchio
Adrien Brodie
John Leguizamo
Mira Sorvino
Ben Gazarra
Kerrie Keane
Helen Hughes
Erin Flannery
John Irland
Nobu McCarthy
Shizuko Hoshi
Danny Kameakona
Sab Shimono
Patty Yatsutake
Takago Fisher
Ken Narasaki
Ben Lang
Margo Solin
Maxine Woods
Robert Bolden
Edythe Chapman
Alec. B. Francis
Mabel vanBuren
Helen Dunbar
Jaques Demy
Ramon Navarro
Kent Douglass
Purnell Pratt
Gwen Lee
Dorothy Burgess
Zach Galligan
Leonard Maltin
Robert Picard
Geddy Watanabe
Keenan J. Wyams
Eva Gobor
Kurt Kaszner
George Dolenz
Joe deSantis
Joyce McKenzie
Fay Baker
Roman Navarro
John Goodman
Simon Fenton
s a
Kellie Martin
Omri Katz
Lisa Jakub
s a
Alan Rickman
Nick Brimble
Michael Wincott
Brin Blessed
Kim Burfield
Rik Battaaglia
Kati Outinen
Elina Salo
Esko Nikkari
Vesa Vierikko
Jobina Ralson
Mildred Davis
Rita Johnson
Frankie Thomas
Barbara Stanwyk
none
Jean Heather
Byron Barr
Richard Gaines
Fortuna Bonanova
Douglas Fairbanks~jr
John Miljean
Barry Mitchell
Erich vonStroheim
Peter vanEyck
Konstantin Shayne
Edna May Wonnacutt
Vittorio deSica
Clive Revell
s a
s a
Trey Parker
David Dunn
Dian Bachar
Robin Lynne Raab
Michael Dean Jacobs
s a
Ron Jeremy
Erich vonStroheim
Erich vonStroheim
Preston Sturges
Sheila Terry
Theodore Newton
Freddie Steele
Bob Arthur
Frank Cady
Tamil Erin
Eileen Brenner
Diane Hull
John Schuckk
Corey Crow
George diCenzo
Lo Dickinson
Chaub Bailly
Dick vanPatten
Branscombe Highmond
Tatum ONeil
s a
Dorothy Tree
William Robinson
Glenda Farrel
Robert Barrat
Alan Feinstein
Priscilla Pointer
Thurstom Hall
Luis Alberni
Jean Brooks
Hugh Beaumont
Mort Click
s a
s a
s a
s a
s a
s a
Miranda Richardson
s a
Martin Vignover
Asia Argento
Jared Harris
Rupert Everett
Chris Leavins
Joel S. Keller
Kerry Fox
s a
Hilary Dwyer
Delia Bocardo
James Roobertson Jutice
Stanley Baxter
Melissa Stribling
John vanEyssen
Valerie Gaunt
Brad Starr
s a
Valeree Grant
Karl Boehm
Edward Asner
Roger C. Carmel
Roy dArcy
Marc McDermott
s a
Roblio Provani
Canbresa Calicita
Manay Duras
Edward James Olmos
Gon Li
Zhang FenYi
Ray Liu
Edmond O''Brien
George Cleveland
Anette Funicello
Jesse White
Donna Loren
Susan Hart
Africa Cyzebes
Jessie Roy Landis
Susan Fleetwood
Alan Dobie
Hugh Grant
Catherine Nelson
Raymond Harmstorf
s a
Bourvil
Jeanpierre Cassel
Irena Demich
John LeMesurier
Tony Hancock
William Rushton
Lars Hanson
Matt Damon
Claire Danes
Terry Winston
Channing Stockard
s a
s a
s a
Patricia Wettig
Anette Bening
Patricia Doanahue
Florence MacMichaels
Meri Welles
Joan Allen
Elias Koteas
Nina Siemaszko
Anders Johnson
Corky Nemec
Jeremy Northam
Dennis Miller
s a
s a
s a
s a
Douglas Fairbanks~jr
Minnie Depree
Cherry McClain
Tony March
Marianne Marks
Jeffrey Wheat
Joseph Whipp
Tom McFadden
Alexander Zale
Keanu Reeves
Tom Waits
Cary Elwes
Sadie Frost
s a
Franc dAmbrosio
Andy Garcia
Joe Mantegna
Richard Bright
Donal Donelly
Willie Brown
Don Novello
Franco Citti
Vittorio Duse
Michel Russo
Charles Winneger
Warrem Hymer
Jack Caron
Cora Miao
Gerald S. OLoughlin
Zdenek Sverak
Andrej Chalimon
Melissa Altro
Dave Thomas
s a
Virginia Madsen
Lisa Nieme
s a
Jan Triska
Isabel Huppert
Francois Cluzet
Nils Travenier
Marie Trintignant
Nicholas Cage
Kevin J. OConnor
Buster Kaeton
Tony Francioso
Jocelyn laGarde
Carroll OConnor
Bibi Osterwald
Kennth Mars
Christophe Malavoy
Jacques Penot
Virgenie Thevenet
s a
Pat Morita
Anthony Dexter
s a
Barbara deRossi
Robert Reford
Bo Brundin
Bhilip Buruns
s a
Jaqueline Bissett
Barbara Carrierre
Valentina Cortese.
s a
s a
s a
John Cosidine
Sheila Allen
Valentino
Philip Loeb
Elizabeth Bisbon
s a
s a
Bobby Clark
s a
s a
Griff Barnett
Esther Dale
Lan Turner
Enzio Pinza
George Mathews
Joseph Downing
Mark Dano
Napoleon Whiting
Joseph Downing
Mary Hatcher
DeForrest Kelly
Glen Tryon
Barbara Stanwyk
Billy deWolfe
George Pal Puppetoons
Cecil B. deMille
Mitchell Leisen
Goerge Marshall
City Slickers
Manuel Donde
A.Soto Rangel
Paul Gegauff
Danielle Gegauff
Paula Moore
Michel Valette
John Hayes Newton
Judie Aronson
Sam deFrancisco
Robert OReilley
Paul L. Smith
Biff Manard
David Correia
Barry Lynch
Peter Hanson
michel bouquet

Wayne Heffler
Peter Hoofer
Kenneth Gentile
Roscoe Lee Brown
s a
s a
Joel McCray
Wade Boteler
Herbert Bunston
Burr McIntosh
Anna Laguna
Jan Azis
Mark Halsun
s a
Margeret Sullavan
Charles Butterwoth
Lynnn Loring
Michel Duchaussoy
Sig Rumann
Angela Clarke
George Dolenz
William Ching
Bris Karloff
Lisa Howard
Nino Marcel
Timothy Botoms
Dorothy Christie
Dlive Brrok
Jacques Roux
Walter Tony Huston
Bernard Archard
Gladys Cooper
Marietta Tree
Ralph Roberts
Estelle Winwwod
Guy Mitchell
Patricia Crowley
Cass Daley
Reginal Owen
Joanne Gilbett
Grayson Hall
Laurene London
Karen Finley
Joe Gibbons
Tony Conrad
Tony Oursler
Adolfas Mekas
Terry Becker
Elisa Loti
Bruno VeSota
Jenny Ingo
Gustaf Grundgens
Zorro David
Barry Keyy
David Sheiner
s a
Bill Mauldin
Douglas Dick
Arthur Hunnicut
Marco Tulli
Ivor Barnard
Friedrich Ledebur
Edric Connor
Joseph Tomelty
Frances Tomelty
s a
s a
s a
Katherine Kath
Colette Marchand
Jim Antonio
Alastair Sims
Maria Rojo
s a
s a
Alec Guiness
Lilian Gish
Laurie Anderson
Wolfgang Krause Zwieback
Erwin Stache
Kurt Masur
Messer Banzani
Heiner Mulller
Erich Honecker
Zorn
Garry Goodrow
Jerome Raphael
s a
Freddie Redd
Albert Remy
Suzanne Flon
Jenny Till
s a
Wolf Kahn
Warren Cosell
Sandra Locke
Beverlee McKinsey
Woodrow Parfrey
sa
Dan Vadis
Sierra Pecheur
Walter Barnes
sa
Paula Trueman
Geraldine Keame
Woodrow Parfey
Mariana Hill
Don Siegel
Donal McCann
Theresa Saldona
Frank Aragon
Terry Valentino
Peter Kwong
Mike Moraff
Daniel Villareal
Lupe Amador
Claudine x
Susan Tyrell
Curtis Cokes
Art Aragon
Nicholas Colosanto
Jack May
Shakira Caine
Ela GrubeDeister
Rolf Zacker
Miriel Baumeister
Ben Becher
Louise Allbritton
Billy House
David McLean
Daine Sayer
s a
Lois deBanzie
Bobby Moore
George Mikell
Andy Garcia
Yusaku Matsuda
Ken Takamura
Michael Matson
Christopher MacDonald
Steven Tobolowsky
s a
Tomothy Carhart
Alice Joyceinnocent girl, left behind
Lorraine bracco
Daniel Hugh Kelly
Andreas Katsulas
Arthur Malet
Tisha Sterling
Peter Weller
Indus Arthur
sa
sa
Berta Gersten
Robert F. Simon
Teddy Wison
Lionel Hampton
Ziggy Elman
Ron Randall
Roger C. Carmel
Mamie vanDoren
Mel Torme
Paul Anka
Ray Anthony
The Platters
Gloria talbot
Cathy Crosby
Maggie Hayes
Sheila Graham
Charles Chaplin~jr.
Jim Mitchum
Kellie Martin
s a
s a
Mildred Davis
Norah Young
Gary Merril
Richard Bakalyan
Michel Ray
Rodolfo Hoyos
Elsa Cardenas
Carlos Navarro
Michael Wincott
Tcheky Karyo
Steve Waddington
Tom Guiry
Mike Vitar
s a
Omar York
s a
Patrick Renna
Corey allen
Rebecca Welles
Anne Whitfield
Richard Bakalyan
Sinbad
Tomothy Birsfield
Bill Colls
Lisa Eichman
sa
sa
Gilbert Gottfried
Jaques Dutronc
Bernard Lecoq
Alexandra London
Gerard Sety
Corinne Bordon
Elza Siberstein
Leslie Azoulot
Jennifer Kendal
s a
Valeria Golino
Cary Elwes
Jon Cryer
Bill Irwin
Jake
Elwood
Lester Vail
Don Alvorado
Irine Rich
Ricard Crenna
s a
Valerie Golina
Brenda Bakke
Chris Penn
Leon Gordon
Michael Constantine
Mamie van Doren
Reilly
s a
s a
s a
s a
s a
Paolo Hendel
Giovanni Giudelli
Nikolai Cheraskov
Peter Turgeon
Robert Patten
Nikolai Cheraskov
Nikolai Cheraskov
Seraphima Birman
Ludmilla Tselikovskaya
Pavel Kadochnikov
Mikhail Nazanov
Andrei Abrisokov
Vsevolod Pudovkin
Rosemary deCamp
George White
Stephen Lang
Brian Mallon
Debbie Watson
Dorothy Green
Frank McGrath
Nikolei Cherkassov
Nikolai Okhlopkov
Andrei Abrikosov
Dmitri Orlov
N.N. Arski
V.K. Novikov
V.L. Ershov
S. Blinnikov
I.I. Lagutin
L.A. Fenin
N.A. Rogozbin
Varvara Massalitinova
V.S. Ivasheva
Benson Fong
Michael Wincott
Rochelle Davis
David Patrick Kelly
Chris Tucker
Charlie Shenn
Gerard Ismael
Diahann Carroll
Harriett Hilliard
Harry Beresford
Doris Dudley
Margaret Seddon
Lionel Pape
Constance Lupino
Chris Tucker
Tom Wilkinson
Chris Penn
Rufus Sewell
Jennifer Connelly
Richard OBrien
Maurive Pialat
Josh Hartnett
Arthur Marx
Brendan Fraser
Leslie Mann
s a
s a
Tai
Willie Brown~jr
Mona Maris
Adrienne Ames
Vince Barnett
Herman bing
Curu Bois
James Gleason
The Hall Johnson Choir
Viviane Romance
Paul Bernard
Joan Cusack
Jimmy Nail
Vera Baranowskaya
Valeska Gert
Theodor Pistek
Mana Zeniskova
Viggo Mortensen
Scott Wolf
Caroline Goodall
Jeremy Sisto
Ryan Philippe
Julio Oscar Mechoso
Jason Marsden
David Lascher
Eric Michael Cole
Zeljko Ivanek
Ethan Embry
Jordan Clarke
Lizbeth MacKay
Jill Larson
James Medina
James Rebhorn
Jill Larson
Camilla Overbye Roos
Jordan Scott
Nicole Ann Samuel
s a
s a
Frances McDormand
Park Overall
Stephen Tobolowsky
Bob Monkhouse
Eric Barker
Robert Arkins
Andrew Strong
Angelina Ball
Michael Aherne
Bronagh Gallagher
Johnny Murphy
Colm Meany
Maria Doyle
Tamlyn Tomita
Zbibniew Cybulski
Iga Cembrzynska
Joanna Jedryka
Aleksander Fogiel
Slawomir Linder
Kazimierz Opalinki
Barbara Krafftoowna
Carroll Baker
vittorio Gassman
Dennis King
Isobel Epsom
John Castle
Roger Delgado
Margeret Rutherford
Russel Crowe
Joaquin Phoenix
s a
Connie Nielsen
Kenneth Moore
Gugi Bellista
Hildegard Kneff
Michel Auclair
Peter Vaughn
Marisa Parades
Imanuel Arias
Roissy de Palma
Chus Lampreave
Juan Echanove
z x
s a
Veronica Forque
s a
s a
Alex Casanovas
Darnell Williams
Nicole Alysia
Maura Tierney
Steve Zahn
Dave Strickland
Meredith Scott Lynn
Douglas Fairbanks~jr
Edna Ferber
Cecilia Roth
Maria Paredes
Candela Pena
Antonia SanJuan
Penelope Cruz
John Colicos
Katherine Blake
Peter Jeffrey
William Squire
Nora SwinBurne
Liv Ullman
Aaron Schwartz
MarieFrance Pisier
Christian Marquand
s a
Ricky Schroder
Tammy Lauren
Amanda Barrie
Charles Hawtree
Shaun Weiss
Aaron Schwartz
Kenan Thompson
Tom McGowan
Jerry Stiller
Tom Hodges
Leah Lail
Bill Irwin
s a
Betsy Mazursky
Jim Guyette
Ray Rodgers
Lewie Anderson
John Morrison
Gegory Hines
Mark Wahlberg
Paul Abbott
Lori Petty
Jon Livitz
Freddie Simpson
Megan Cavanagh
Bitty Schram
Brendan Fraser
Rachel Weisz
John Hannah
s a
s a
George Morfogen
Brendan Fraser
Melora Walters
s a
Spalding Gray
Gladys Knight
Kamal Holloway
Chistopher Lloyd
Penelope Anne Miller
Alice Drummond
Richard Libertini
Bradley Whitford
Keith Baxter
Penelope Anne Miller
Tim Daly
Louis Jordan
Art Malik
Courtney B. Vance
Robbie Coltrane
Jammes Gammon
Dominique Dunne
Oliver Robbins
Chazz Palminteri
Armande Assante
Cazz Palmieri
Arden Smith
s a
Ray Liotta
Sylvster Stallone
s a
George Foreman
Norman Mailer
George Plimpton
B.B. King
s a
s a
Ricki Lake
Brendan Fraser
Brendan Fraser
Miguel Sandoval
s a
s a
s a
s a
s a
Glauco Mauri
Elda Tattoli
s a
James Gleason
Paul Gilbert
s a
s a
Mai Britt
Gwyneth Palthrow
Johnathon Schaech
Corey Haim
Evan Richards
Tracy Fraim
Randall England
Brittney Lewis
James MacKrell
Suzanne Kent
Susan Seaforth Hayes
Brynja McGrady
Don Shanks
Michael Flynn
Sam Shamstak
Fenton Terry
s a
s a
s a
Vladimir AntolekOresek
Luc Simon
Laura Duke Condominas
Humbert Balsan
x x
s a
s a
Little Richard
Tracy Nelson
Elizabeth Pena
Hunter Carson
Christian Patey
Alain Bourguignon
Caroline Lang
Vincent Risterucci
Nia Long
Will Smith
Fred Mancuso
Paul Rodriguez
David Bowe
Antoine Monnier
Tina Irissari
Henry deMoaublanc
Laetitia Caracano
Margaret Sophie Stein
Judith Malina
Phil Leeds
Efharris
Michael Pahoels-Carlson
s a
Dean Cain
Louis Sinosi
Justin Wallis
Eddie Jones
s a
s a
s a
Christina Ricci
Caroline McWilliams
s a
s a
Leon Head
Michelle Bauer
J.J. North
Theresa Lynn
Mickey Hargitay
John Emery
Ray Anthony
Fats Domino
Eddy Cochran
Little Richard
The Platters
s a
Eddie Fountain
Johnny Ray
s a
Estelle Getty
Phil Spector
Eddire mayhoff
Anita Eckberg
George `Foghorn' Winslow
Patricia Routledge
s a
Richard Chavez
s a
Philip Seymor Hoffman
John C. Reilly
Mark Wahlberg
Heather Graham
Don Cheadle
John C. Reilly
Roland Gift
Joroen Krabbe
Dennis Christopher
Tracy Brooks
Gary Maas
Claude Lelouche
Robin Bartlett
Karina Arogaven
Beverly Todd
Alan north
Lyme Thigpen
Alessandro Gasman
Stig Jarrel
Mai Zettering
Sebastion Cabot
Salavtore Baccaloni
Isa Moore
Patricia Cutts
Konstantin Shayne
Anthony George
Harvey Stevens
Ralph Clanton
Joanna Moore
Fred Robbins
Betsy vonFurstenberg
Carmen Mathews
Richard Waring
Edmon Ryan
Benny Baker
Ralph Maccio
Noriyuki `Pat' Morita
Robyn Lively
Sean Kanan
